2021-01-01; 06:30; 08:28; 12:20; 13:48; 16:06; 17:26
2021-01-02;06:30;08:28;12:21;13:49;16:07;17:27
2021-01-03;06:30;08:28;12:21;13:50;16:08;17:28
2021-01-04;06:30;08:28;12:22;13:51;16:10;17:30
2021-01-05;06:30;08:27;12:22;13:52;16:11;17:31
2021-01-06;06:30;08:27;12:23;13:53;16:12;17:32
2021-01-07;06:29;08:26;12:23;13:54;16:14;17:34
2021-01-08;06:29;08:26;12:23;13:55;16:15;17:35
2021-01-09;06:29;08:25;12:24;13:56;16:16;17:36
2021-01-10;06:28;08:24;12:24;13:57;16:18;17:38
2021-01-11;06:28;08:24;12:25;13:59;16:19;17:39
2021-01-12;06:27;08:23;12:25;14:00;16:21;17:41
2021-01-13;06:27;08:22;12:26;14:01;16:22;17:42
2021-01-14;06:26;08:21;12:26;14:03;16:24;17:44
2021-01-15;06:26;08:20;12:26;14:04;16:26;17:46
2021-01-16;06:25;08:19;12:27;14:05;16:27;17:47
2021-01-17;06:24;08:18;12:27;14:07;16:29;17:49
2021-01-18;06:23;08:17;12:27;14:08;16:31;17:51
2021-01-19;06:23;08:16;12:28;14:09;16:33;17:53
2021-01-20;06:21;08:15;12:28;14:11;16:34;17:54
2021-01-21;06:20;08:14;12:28;14:12;16:36;17:56
2021-01-22;06:19;08:12;12:28;14:14;16:38;17:58
2021-01-23;06:18;08:11;12:29;14:15;16:40;18:00
2021-01-24;06:17;08:10;12:29;14:17;16:42;18:02
2021-01-25;06:16;08:08;12:29;14:18;16:44;18:04
2021-01-26;06:15;08:07;12:29;14:20;16:45;18:05
2021-01-27;06:15;08:05;12:30;14:21;16:47;18:07
2021-01-28;06:14;08:04;12:30;14:23;16:49;18:09
2021-01-29;06:12;08:02;12:30;14:24;16:51;18:11
2021-01-30;06:11;08:01;12:30;14:26;16:53;18:13
2021-01-31;06:10;07:59;12:30;14:27;16:55;18:15
